Fid,lat,lng,road_desc,zip,timeStamp,twp,addr,outcome_of_incident,traffic_status,traffic_occured_by,area_accident_occured,Label
10.42.0.211-23.77.88.53-43881-443-6,40.2319898,-75.2518915,RT202 PKWY & KNAPP RD; MONTGOMERY; 2022-12-10 @ 17:33:50;,,10-12-22 17:33,MONTGOMERY,RT202 PKWY & KNAPP RD,Greviously Injured,Medium,Collision with roadside objects,Residential areas,2
172.217.12.170-10.42.0.211-443-35387-6,40.0841613,-75.3083857,BROOK RD & COLWELL LN; PLYMOUTH; 2022-12-10 @ 16:32:10;,19428,10-12-22 16:32,PLYMOUTH,BROOK RD & COLWELL LN,Death,High,Vehicle with vehicle collision,Office areas,1
203.205.158.60-10.42.0.211-80-44252-6,40.1741312,-75.0984907,BYBERRY AVE & S WARMINSTER RD; UPPER MORELAND; 2022-12-10 @ 17:15:49;,19040,10-12-22 17:15,UPPER MORELAND,BYBERRY AVE & S WARMINSTER RD,Minor Injury,Medium,Rollover,Office areas,0
10.42.0.211-104.192.110.245-49746-443-6,40.062974,-75.135914,OLD YORK RD & VALLEY RD; CHELTENHAM; 2022-12-10 @ 17:12:47;,19027,10-12-22 17:12,CHELTENHAM,OLD YORK RD & VALLEY RD,Death,High,Vehicle with vehicle collision,Office areas,1
203.205.158.62-10.42.0.211-80-49724-6,40.0972222,-75.3761952,SCHUYLKILL EXPY & CROTON RD UNDERPASS; UPPER MERION; 2022-12-10 @ 17:09:49;,,10-12-22 17:09,UPPER MERION,SCHUYLKILL EXPY & CROTON RD UNDERPASS,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
10.42.0.211-23.206.173.182-50896-80-6,40.2237777,-75.2353993,STUMP RD & WITCHWOOD DR; MONTGOMERY; 2022-12-10 @ 17:31:00;,18936,10-12-22 17:31,MONTGOMERY,STUMP RD & WITCHWOOD DR,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
203.130.53.126-10.42.0.211-80-52261-6,40.2432578,-75.2865516,SUSQUEHANNA AVE & W MAIN ST;  LANSDALE; Station 345B; 2022-12-10 @ 17:42:44;,19446,10-12-22 17:42,LANSDALE,SUSQUEHANNA AVE & W MAIN ST,Death,High,Vehicle with vehicle collision,Office areas,1
10.42.0.1-10.42.0.42-53-19669-17,40.3121807,-75.5742598,CHARLOTTE ST & MILES RD;  NEW HANOVER; Station 332; 2022-12-10 @ 17:41:54;,19525,10-12-22 17:41,NEW HANOVER,CHARLOTTE ST & MILES RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.151-115.239.210.141-53922-80-6,40.114239,-75.338508,PENN ST & ARCH ST;  NORRISTOWN; Station 308A; 2022-12-10 @ 17:43:29;,19401,10-12-22 17:43,NORRISTOWN,PENN ST & ARCH ST,Death,Medium,Collision with roadside objects,Residential areas,1
10.42.0.211-104.192.110.245-37965-80-6,40.2093369,-75.1352655,COUNTY LINE RD & WILLOW DR; HORSHAM; 2022-12-10 @ 17:45:23;,18974,10-12-22 17:45,HORSHAM,COUNTY LINE RD & WILLOW DR,Greviously Injured,High,Vehicle with vehicle collision,Residential areas,2
10.42.0.211-10.42.0.1-59776-53-17,40.114239,-75.338508,PENN ST & ARCH ST; NORRISTOWN; 2022-12-10 @ 17:43:45;,19401,10-12-22 17:43,NORRISTOWN,PENN ST & ARCH ST,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
10.42.0.211-10.42.0.1-51238-53-17,40.1179476,-75.2098476,CHURCH RD & REDCOAT DR; WHITEMARSH; 2022-12-10 @ 17:53:22;,19031,10-12-22 17:53,WHITEMARSH,CHURCH RD & REDCOAT DR,Greviously Injured,High,Collision with roadside objects, Church areas,2
10.42.0.42-104.97.95.172-57315-80-6,40.1990064,-75.3000584,LILAC CT & PRIMROSE DR; UPPER GWYNEDD; 2022-12-10 @ 17:59:24-Station:STA80;,19446,10-12-22 17:59,UPPER GWYNEDD,LILAC CT & PRIMROSE DR,Minor Injury,High,Collision with roadside objects,  Recreational areas,0
205.185.216.10-10.42.0.42-80-52837-6,40.1433257,-75.422819,RT422  & PAWLINGS RD OVERPASS; LOWER PROVIDENCE; 2022-12-10 @ 18:00:38;,,10-12-22 18:00,LOWER PROVIDENCE,RT422  & PAWLINGS RD OVERPASS,Death,Medium,Vehicle with vehicle collision, Industrial areas,1
10.42.0.211-108.174.10.10-50511-443-6,40.1532684,-75.1895576,SUMMIT AVE & RT309 UNDERPASS; UPPER DUBLIN; 2022-12-10 @ 17:58:22;,,10-12-22 17:58,UPPER DUBLIN,SUMMIT AVE & RT309 UNDERPASS,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
182.254.5.234-10.42.0.211-80-43031-6,40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2022-12-10 @ 18:02:02;,19403,10-12-22 18:02,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,Death,High,Vehicle with vehicle collision,Residential areas,1
10.42.0.42-106.39.169.66-57125-80-6,40.1552833,-75.2642296,PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; Station 385; 2022-12-10 @ 18:02:38;,19422,10-12-22 18:02,WHITPAIN,PENLLYN BLUE BELL PIKE & VILLAGE CIR,Greviously Injured,Medium,Vehicle with vehicle collision,Office areas,2
10.42.0.151-54.239.17.113-49089-443-6,40.0289031,-75.3518224,EDENTON PL & DURHAM DR; DELAWARE COUNTY; 2022-12-10 @ 18:05:19-Station:STA23;,19085,10-12-22 18:05,DELAWARE COUNTY,EDENTON PL & DURHAM DR,Minor Injury,High,Collision with roadside objects,  Market areas,0
172.217.9.238-10.42.0.151-443-48040-6,40.0972222,-75.3761952,SCHUYLKILL EXPY & WEADLEY RD OVERPASS; UPPER MERION; 2022-12-10 @ 18:05:39;,,10-12-22 18:05,UPPER MERION,SCHUYLKILL EXPY & WEADLEY RD OVERPASS,Death,Medium,Vehicle with vehicle collision,Unknown,1
10.42.0.42-119.146.74.33-40622-443-6,40.2093369,-75.1352655,COUNTY LINE RD & WILLOW DR; HORSHAM; 2022-12-10 @ 18:10:40;,18974,10-12-22 18:10,HORSHAM,COUNTY LINE RD & WILLOW DR,Greviously Injured,High,Vehicle with vehicle collision, Industrial areas,2
10.42.0.211-10.42.0.1-1863-53-17,40.0972222,-75.3761952,SCHUYLKILL EXPY & WEADLEY RD OVERPASS; UPPER MERION; 2022-12-10 @ 18:07:01;,,10-12-22 18:07,UPPER MERION,SCHUYLKILL EXPY & WEADLEY RD OVERPASS,Death,High,Vehicle with vehicle collision,Residential areas,1
10.42.0.151-10.42.0.1-31323-53-17,40.300736,-75.3319733,CORNWALL TER & LIONS GATE CIR;  FRANCONIA; Station 339; 2022-12-10 @ 18:09:49;,18964,10-12-22 18:09,FRANCONIA,CORNWALL TER & LIONS GATE CIR,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
10.42.0.151-10.42.0.1-60240-53-17,40.129398,-75.3322134,PINE ST & W ROBERTS ST;  NORRISTOWN; Station 308A; 2022-12-10 @ 18:17:07;,19401,10-12-22 18:17,NORRISTOWN,PINE ST & W ROBERTS ST,Greviously Injured,High,Vehicle with vehicle collision,Other,2
10.42.0.211-10.42.0.1-26886-53-17,40.0993621,-75.1500348,E GLENSIDE AVE & S KESWICK AVE; CHELTENHAM; 2022-12-10 @ 18:21:43;,19038,10-12-22 18:21,CHELTENHAM,E GLENSIDE AVE & S KESWICK AVE,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
10.42.0.211-10.42.0.1-8443-53-17,40.2212266,-75.2887369,MORRIS RD & MUHLENBURG DR; UPPER GWYNEDD; 2022-12-10 @ 18:23:13;,,10-12-22 18:23,UPPER GWYNEDD,MORRIS RD & MUHLENBURG DR,Death,High,Collision with roadside objects,Rural village areas,1
172.217.10.142-10.42.0.42-443-51231-6,40.0738642,-75.3167972,MOOREHEAD AVE & FRONT ST; WEST CONSHOHOCKEN; 2022-12-10 @ 18:20:28;,19428,10-12-22 18:20,WEST CONSHOHOCKEN,MOOREHEAD AVE & FRONT ST,Minor Injury,High,Vehicle with vehicle collision,Rural village areas,0
172.217.10.238-10.42.0.42-443-33164-6,40.1617316,-75.1510554,DRESHER RD & WELSH RD; HORSHAM; 2022-12-10 @ 18:23:11;,19044,10-12-22 18:23,HORSHAM,DRESHER RD & WELSH RD,Death,Medium,Collision with pedestrians,Office areas,1
172.217.9.234-10.42.0.211-443-49920-6,40.0667184,-75.307176,CONSHOHOCKEN STATE RD;  WEST CONSHOHOCKEN; Station 313A; 2022-12-10 @ 18:29:54;,,10-12-22 18:29,WEST CONSHOHOCKEN,CONSHOHOCKEN STATE RD,Greviously Injured,High,Collision with roadside objects,Residential areas,2
10.42.0.211-121.12.98.63-47436-80-6,40.0655304,-75.3078284,CONSHOHOCKEN STATE RD & MERION HILL LN; WEST CONSHOHOCKEN; 2022-12-10 @ 18:30:41;,19428,10-12-22 18:30,WEST CONSHOHOCKEN,CONSHOHOCKEN STATE RD & MERION HILL LN,Minor Injury,High,Collision with roadside objects,Residential areas,0
183.79.17.108-10.42.0.151-443-60432-6,40.1042063,-75.3676652,HAMPTON RD & BELMONT RD; UPPER MERION; 2022-12-10 @ 18:32:25-Station:STA49;,19406,10-12-22 18:32,UPPER MERION,HAMPTON RD & BELMONT RD,Death,Medium,Vehicle with vehicle collision, Outside rural areas,1
10.42.0.211-119.146.74.31-42055-443-6,40.1227798,-75.2672413,SPARANGO LN & MELISSA WAY;  PLYMOUTH; Station 308; 2022-12-10 @ 18:38:18;,19462,10-12-22 18:38,PLYMOUTH,SPARANGO LN & MELISSA WAY,Greviously Injured,High,Rollover,Residential areas,2
10.42.0.151-10.42.0.1-10790-53-17,40.091055,-75.3843648,ALLENDALE RD & WILLS BLVD; UPPER MERION; 2022-12-10 @ 18:37:00;,19406,10-12-22 18:37,UPPER MERION,ALLENDALE RD & WILLS BLVD,Death,High,Vehicle with vehicle collision, Church areas,1
157.240.2.35-10.42.0.151-443-36936-6,40.0249667,-75.2829046,ROSEMONT AVE & DEAD END;  LOWER MERION; Station 313; 2022-12-10 @ 18:43:07;,,10-12-22 18:43,LOWER MERION,ROSEMONT AVE & DEAD END,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
172.217.11.37-10.42.0.151-443-52587-6,40.1257391,-75.339822,W WOOD ST & MARKLEY ST; NORRISTOWN; 2022-12-10 @ 18:47:18;,19401,10-12-22 18:47,NORRISTOWN,W WOOD ST & MARKLEY ST,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
10.42.0.151-14.17.42.57-55488-80-6,40.2249227,-75.5280446,LINFIELD TRAPPE RD;  LIMERICK; Station 324A; 2022-12-10 @ 18:50:37;,19468,10-12-22 18:50,LIMERICK,LINFIELD TRAPPE RD,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
10.42.0.151-10.42.0.1-47224-53-17,40.2249227,-75.5280446,LINFIELD TRAPPE RD; LIMERICK; 2022-12-10 @ 18:50:23-Station:STA51;,19468,10-12-22 18:50,LIMERICK,LINFIELD TRAPPE RD,Greviously Injured,High,Vehicle with vehicle collision,Other,2
172.217.10.142-10.42.0.151-443-56854-6,40.2249227,-75.5280446,AUTO PARK BLVD & LINFIELD TRAPPE RD; LIMERICK; 2022-12-10 @ 18:51:34;,19468,10-12-22 18:51,LIMERICK,AUTO PARK BLVD & LINFIELD TRAPPE RD,Minor Injury,High,Vehicle with vehicle collision,Other,0
172.217.6.206-10.42.0.151-443-56670-6,40.2309343,-75.5221245,LINFIELD TRAPPE RD & RAMP N LEWIS RD TO RT422 EB; LIMERICK; 2022-12-10 @ 18:51:01;,19468,10-12-22 18:51,LIMERICK,LINFIELD TRAPPE RD & RAMP N LEWIS RD TO RT422 EB,Death,Medium,Vehicle with vehicle collision,Residential areas,1
10.42.0.42-115.239.210.141-38203-443-6,40.251523,-75.329557,DOCK DR & DEAD END;  TOWAMENCIN; Station 345B; 2022-12-10 @ 18:59:50;,,10-12-22 18:59,TOWAMENCIN,DOCK DR & DEAD END,Minor Injury,High,Vehicle with vehicle collision,Other,0
172.217.10.45-10.42.0.151-443-47718-6,40.1653934,-75.2829046,HARROW LN & DEAD END; WHITPAIN; 2022-12-10 @ 18:56:51-Station:STA33;,,10-12-22 18:56,WHITPAIN,HARROW LN & DEAD END,Death,Medium,Collision with roadside objects,Other,1
172.217.11.3-10.42.0.151-443-50931-6,40.2313745,-75.2797803,CHURCH RD & E HANCOCK ST; LANSDALE; 2022-12-10 @ 19:06:07;,19446,10-12-22 19:06,LANSDALE,CHURCH RD & E HANCOCK ST,Greviously Injured,High,Vehicle with vehicle collision,Other,2
173.241.242.143-10.42.0.151-443-39504-6,40.3209665,-75.6113493,WILSON AVE & E PHILADELPHIA AVE;  DOUGLASS; Station 332; 2022-12-10 @ 19:07:27;,19525,10-12-22 19:07,DOUGLASS,WILSON AVE & E PHILADELPHIA AVE,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-10.42.0.1-28885-53-17,40.0512834,-75.2968515,LAFAYETTE RD & CONSHOHOCKEN STATE RD; LOWER MERION; 2022-12-10 @ 19:09:42-Station:STA24;,19010,10-12-22 19:09,LOWER MERION,LAFAYETTE RD & CONSHOHOCKEN STATE RD,Death,Medium,Vehicle with vehicle collision,Other,1
172.217.10.78-10.42.0.151-443-34931-6,40.2432612,-75.2960797,W MT VERNON ST & S MITCHELL AVE; LANSDALE; 2022-12-10 @ 19:08:43;,19446,10-12-22 19:08,LANSDALE,W MT VERNON ST & S MITCHELL AVE,Greviously Injured,High,Vehicle with vehicle collision,Other,2
192.229.173.173-10.42.0.211-80-55312-6,40.1568468,-75.1019942,YORK RD & RR CROSSING;  UPPER MORELAND; Station 381; 2022-12-10 @ 19:18:31;,,10-12-22 19:18,UPPER MORELAND,YORK RD & RR CROSSING,Death,High,Collision with pedestrians, Church areas,1
180.149.153.234-10.42.0.211-80-53928-6,40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2022-12-10 @ 19:12:13;,19403,10-12-22 19:12,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
10.42.0.211-23.206.173.182-47900-80-6,40.089973,-75.1410849,FERNBROOK AVE & MAPLE AVE;  CHELTENHAM; Station 358A; 2022-12-10 @ 19:15:10;,19095,10-12-22 19:15,CHELTENHAM,FERNBROOK AVE & MAPLE AVE,Greviously Injured,High,Vehicle with vehicle collision, Industrial areas,2
172.217.10.234-10.42.0.42-443-53320-6,40.2470021,-75.6525972,KING ST & N YORK ST;  POTTSTOWN; Station 329; 2022-12-10 @ 19:17:13;,19464,10-12-22 19:17,POTTSTOWN,KING ST & N YORK ST,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
172.217.6.234-10.42.0.211-443-42890-6,40.0818005,-75.2531616,RIDGE PIKE & CHURCH RD; WHITEMARSH; 2022-12-10 @ 19:19:19;,19444,10-12-22 19:19,WHITEMARSH,RIDGE PIKE & CHURCH RD,Death,Medium,Vehicle with vehicle collision,Other,1
172.217.12.142-10.42.0.151-443-43981-6,40.0203725,-75.3092584,W MONTGOMERY AVE & PENNSWOOD RD; LOWER MERION; 2022-12-10 @ 19:25:22;,19041,10-12-22 19:25,LOWER MERION,W MONTGOMERY AVE & PENNSWOOD RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.151-54.230.38.124-47520-80-6,40.2306331,-75.2785377,CEDAR ST & E HANCOCK ST; LANSDALE; 2022-12-10 @ 19:06:07;,19446,10-12-22 19:06,LANSDALE,CEDAR ST & E HANCOCK ST,Death,Medium,Vehicle with vehicle collision, Industrial areas,1
192.229.163.180-10.42.0.151-443-58369-6,40.1173446,-75.2111725,FAIRFIELD DR & FARMAR LN;  WHITEMARSH; Station 318; 2022-12-10 @ 19:23:08;,19031,10-12-22 19:23,WHITEMARSH,FAIRFIELD DR & FARMAR LN,Greviously Injured,Medium,Collision with roadside objects, Industrial areas,2
10.42.0.1-10.42.0.42-53-28084-17,40.2679249,-75.3143823,CLEMENS RD & FORTY FOOT RD;  HATFIELD TOWNSHIP; Station 345; 2022-12-10 @ 19:25:07;,19440,10-12-22 19:25,HATFIELD TOWNSHIP,CLEMENS RD & FORTY FOOT RD,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.151-31.13.80.52-38557-80-6,40.2456734,-75.2796667,BROAD ST & E 6TH ST;  LANSDALE; Station 345; 2022-12-10 @ 19:22:25;,19446,10-12-22 19:22,LANSDALE,BROAD ST & E 6TH ST,Greviously Injured,High,Vehicle with vehicle collision, Hospital areas,2
172.217.12.174-10.42.0.151-443-56919-6,40.1199455,-75.3383214,DEKALB ST & E ELM ST;  NORRISTOWN; Station 308A; 2022-12-10 @ 19:21:47;,19401,10-12-22 19:21,NORRISTOWN,DEKALB ST & E ELM ST,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
10.42.0.211-104.192.110.245-55562-443-6,40.105308,-75.341987,4TH ST & DEPOT ST;  BRIDGEPORT; Station 317; 2022-12-10 @ 19:35:47;,19405,10-12-22 19:35,BRIDGEPORT,4TH ST & DEPOT ST,Greviously Injured,High,Vehicle with vehicle collision, Church areas,2
10.42.0.211-10.42.0.1-23122-53-17,40.2890267,-75.3995896,MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2022-12-10 @ 19:38:31;,19438,10-12-22 19:38,LOWER SALFORD,MAIN ST & OLD SUMNEYTOWN PIKE,Minor Injury,High,Vehicle with vehicle collision, Hospital areas,0
10.42.0.211-64.71.142.110-46737-80-6,40.245731,-75.3416869,TOWAMENCIN AVE & SUMNEYTOWN PIKE;  TOWAMENCIN; Station 345B; 2022-12-10 @ 19:43:24;,19438,10-12-22 19:43,TOWAMENCIN,TOWAMENCIN AVE & SUMNEYTOWN PIKE,Death,Medium,Vehicle with vehicle collision,Office areas,1
192.229.173.173-10.42.0.42-80-38028-6,40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2022-12-10 @ 19:49:37;,19403,10-12-22 19:49,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.1-10.42.0.42-53-7601-17,40.1546593,-75.2215435,BUTLER AVE & N RIDGE AVE;  AMBLER; Station 351; 2022-12-10 @ 19:54:45;,19002,10-12-22 19:54,AMBLER,BUTLER AVE & N RIDGE AVE,Death,High,Vehicle with vehicle collision,Office areas,1
180.149.153.68-10.42.0.211-80-57817-6,40.0249667,-75.2829046,AVIGNON DR & DEAD END; LOWER MERION; 2022-12-10 @ 20:01:29-Station:STA24;,,10-12-22 20:01,LOWER MERION,AVIGNON DR & DEAD END,Greviously Injured,Medium,Rollover,Office areas,2
140.205.250.8-10.42.0.151-443-41073-6,39.9867698,-75.2754335,LLOYD LN & DRAYTON LN;  LOWER MERION; Station 313; 2022-12-10 @ 20:05:27;,19096,10-12-22 20:05,LOWER MERION,LLOYD LN & DRAYTON LN,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.42-46.150.167.172-46360-20408-17,40.2537881,-75.2164375,DELMAR CT & CLAREMONT DR;  MONTGOMERY; Station 345A; 2022-12-10 @ 20:10:27;,19454,10-12-22 20:10,MONTGOMERY,DELMAR CT & CLAREMONT DR,Death,Medium,Vehicle with vehicle collision,Office areas,1
10.42.0.211-64.71.142.110-44366-443-6,40.2450058,-75.5930476,HIGH ST & BROWN ST;  LOWER POTTSGROVE; Station 329; 2022-12-10 @ 20:09:47;,19464,10-12-22 20:09,LOWER POTTSGROVE,HIGH ST & BROWN ST,Greviously Injured,Medium,Vehicle with vehicle collision,Residential areas,2
10.42.0.151-10.42.0.1-43876-53-17,40.295271,-75.3284004,COWPATH RD & MEADOW WOOD LN;  FRANCONIA; Station 339; 2022-12-10 @ 20:06:36;,18964,10-12-22 20:06,FRANCONIA,COWPATH RD & MEADOW WOOD LN,Death,High,Collision with roadside objects,Other,1
10.42.0.211-52.94.232.33-44346-443-6,40.2048367,-75.2228211,WELSH RD & LOWER STATE RD; HORSHAM; 2022-12-10 @ 20:07:25;,19002,10-12-22 20:07,HORSHAM,WELSH RD & LOWER STATE RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.211-23.217.155.120-35929-80-6,40.2442013,-75.582403,HIGH ST & S PARK RD; LOWER POTTSGROVE; 2022-12-10 @ 20:24:17;,19464,10-12-22 20:24,LOWER POTTSGROVE,HIGH ST & S PARK RD,Greviously Injured,Medium,Vehicle with vehicle collision,Office areas,2
180.149.136.194-10.42.0.211-443-49674-6,40.2315111,-75.6545599,HANOVER ST & E URNER ST;  CHESTER COUNTY; Station 3A84; 2022-12-10 @ 20:26:35;,19465,10-12-22 20:26,CHESTER COUNTY,HANOVER ST & E URNER ST,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
201.92.16.176-10.42.0.151-33827-43477-17,40.1142023,-75.3268041,NEW HOPE ST & CEDAR LN;  NORRISTOWN; Station 308A; 2022-12-10 @ 20:26:14;,19401,10-12-22 20:26,NORRISTOWN,NEW HOPE ST & CEDAR LN,Death,High,Collision with roadside objects,Other,1
172.217.11.14-10.42.0.151-443-58035-6,40.0039548,-75.2207009,BELMONT AVE & E CITY AVE; LOWER MERION; 2022-12-10 @ 20:36:49;,19004,10-12-22 20:36,LOWER MERION,BELMONT AVE & E CITY AVE,Minor Injury,Medium,Vehicle with vehicle collision, Church areas,0
172.217.3.110-10.42.0.42-443-39972-6,40.2906932,-75.5766612,SWAMP PIKE & ROMIG RD;  NEW HANOVER; Station 332; 2022-12-10 @ 20:45:14;,19525,10-12-22 20:45,NEW HANOVER,SWAMP PIKE & ROMIG RD,Death,High,Vehicle with vehicle collision, Industrial areas,1
203.130.53.126-10.42.0.211-80-36855-6,40.0074347,-75.2489886,MEADOW LN & MONTGOMERY AVE; LOWER MERION; 2022-12-10 @ 20:43:44-Station:STA28;,19066,10-12-22 20:43,LOWER MERION,MEADOW LN & MONTGOMERY AVE,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
169.47.42.215-10.42.0.211-443-41852-6,40.2304548,-75.6339815,WORTH BLVD & TYSON ST;  CHESTER COUNTY; Station 3A84; 2022-12-10 @ 20:50:14;,19465,10-12-22 20:50,CHESTER COUNTY,WORTH BLVD & TYSON ST,Minor Injury,Medium,Vehicle with vehicle collision, Church areas,0
172.217.11.46-10.42.0.211-443-36943-6,40.0348666,-75.3276061,MONTGOMERY AVE & THORNBROOK AVE;  LOWER MERION; Station 313; 2022-12-10 @ 20:49:08;,19010,10-12-22 20:49,LOWER MERION,MONTGOMERY AVE & THORNBROOK AVE,Minor Injury,High,Collision with roadside objects,Office areas,0
222.73.28.96-10.42.0.211-80-36855-6,40.0167386,-75.2651596,PENN VALLEY RD & MANOR RD;  LOWER MERION; Station 313; 2022-12-10 @ 20:53:30;,19072,10-12-22 20:53,LOWER MERION,PENN VALLEY RD & MANOR RD,Death,Medium,Vehicle with vehicle collision,Office areas,1
10.42.0.211-77.234.42.92-39042-443-6,40.4142488,-75.5090155,BLOMMER DR & GRAVEL PIKE; UPPER HANOVER; 2022-12-10 @ 21:01:26-Station:STA38;,18041,10-12-22 21:01,UPPER HANOVER,BLOMMER DR & GRAVEL PIKE,Greviously Injured,High,Vehicle with vehicle collision,Residential areas,2
10.42.0.211-121.12.98.78-41539-80-6,40.0809133,-75.2026651,STENTON AVE & E EVERGREEN AVE;  SPRINGFIELD; Station 311; 2022-12-10 @ 21:10:36;,19038,10-12-22 21:10,SPRINGFIELD,STENTON AVE & E EVERGREEN AVE,Death,High,Vehicle with vehicle collision,Office areas,1
172.217.10.129-10.42.0.151-443-38167-17,40.2372576,-75.2204062,HILLSIDE CT & NESHAMINY FALLS CIR;  MONTGOMERY; Station 345A; 2022-12-10 @ 21:12:35;,19454,10-12-22 21:12,MONTGOMERY,HILLSIDE CT & NESHAMINY FALLS CIR,Minor Injury,Medium,Vehicle with vehicle collision,Residential areas,0
152.163.56.2-10.42.0.211-443-59912-6,40.2500156,-75.5921595,N PLEASANT VIEW RD & WELSH DR; LOWER POTTSGROVE; 2022-12-10 @ 21:19:21;,19464,10-12-22 21:19,LOWER POTTSGROVE,N PLEASANT VIEW RD & WELSH DR,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
